importId;name;code;workshopStockLocation_name;company_code;statusSelect;product_code
;PP FP1509-1 MENTONERA VELCRO;PP-FP1509-1;Main Workshop;BASE;3;FP1509-1
;PP FP3000-1 LUPITA;PP-FP3000-1;Main Workshop;BASE;3;FP3000-1
;PP FP5028-1 VIVIS CON TIRANTES;PP-FP5028-1;Main Workshop;BASE;3;FP5028-1
;PP FP6013-1 EMILY;PP-FP6013-1;Main Workshop;BASE;3;FP6013-1
;PP FP6015-1 HAVAH;PP-FP6015-1;Main Workshop;BASE;3;FP6015-1
;PP FP6149-1 ALEXANDRA;PP-FP6149-1;Main Workshop;BASE;3;FP6149-1
;PP FP6173-1 MARIETH;PP-FP6173-1;Main Workshop;BASE;3;FP6173-1
;PP FP9571-1 OPAL;PP-FP9571-1;Main Workshop;BASE;3;FP9571-1
;PP S1512-1 ALEXIA;PP-S1512-1;Main Workshop;BASE;3;S1512-1
;PP S6055-1 GAIA;PP-S6055-1;Main Workshop;BASE;3;S6055-1
